album,title,youtube_id
Please Please Me,I Saw Her Standing There,oxwAB3SECtc
Please Please Me,Misery,qhbcN3ew9z0
Please Please Me,Anna (Go to Him),b3zNKWyLfus
Please Please Me,Chains,rJOhavaeJYk
Please Please Me,Boys,Qr8OuW5JJgQ
Please Please Me,Ask Me Why,2ttGjtfQ7EA
Please Please Me,Please Please Me,czw8eqepir8
Please Please Me,Love Me Do,0pGOFX1D_jg
Please Please Me,P.S. I Love You,MA5DkiVKSlM
Please Please Me,Baby It's You,AWUTlM6hz0g
Please Please Me,Do You Want to Know a Secret,uRQ7ecvU56k
Please Please Me,A Taste of Honey,MkQ1eOcl5ug
Please Please Me,There's a Place,vTsbYbN8VVI
Please Please Me,Twist and Shout,2RicaUqd9Hg
Single,From Me to You,GN-iTB-CEC4
Single,Thank You Girl,cGka0tXQYAI
Single,She Loves You,nGbWU8S3vzs
Single,I'll Get You,nFEHqFUONHY
With the Beatles,It Won't Be Long,UVKU6SevefY
With the Beatles,All I've Got to Do,anMW41uvb_s
With the Beatles,All My Loving,TSpiwK5fig0
With the Beatles,Don't Bother Me,k03IQbaTcxc
With the Beatles,Little Child,DVMfLIoejTc
With the Beatles,Till There Was You,SHAqAO7w8M8
With the Beatles,Please Mr. Postman,v2Kk5IG2b8E
With the Beatles,Roll Over Beethoven,Hz5jXwOXgKQ
With the Beatles,Hold Me Tight,H42Ou13za30
With the Beatles,You Really Got a Hold on Me,9rokS8Ao4nQ
With the Beatles,I Wanna Be Your Man,mnct7Qf3SUQ
With the Beatles,Devil in Her Heart,IGe-jfFrxCk
With the Beatles,Not a Second Time,Gi8dTDuRCOk
With the Beatles,Money (That's What I Want),CeWjEYhk7Xo
Single,I Want to Hold Your Hand,KjSy6hNwFno
Single,This Boy,VhuU8KDLdO4
Single,Long Tall Sally,w-iA9-D_Mbw
Single,I Call Your Name,r5mzQHQxoSg
Single,Slow Down,HbsyDHxca7Y
Single,Matchbox,Brd2v1NcYWg
A Hard Day's Night,A Hard Day's Night,zx2TFk0vh1I
A Hard Day's Night,I Should Have Known Better,5en2JMLA8Z0
A Hard Day's Night,If I Fell,F_80s6S_7Vw
A Hard Day's Night,I'm Happy Just to Dance With You,B7X1oUfa8uE
A Hard Day's Night,And I Love Her,5tc0gLSSU1M
A Hard Day's Night,Tell Me Why,GVub1QCUCGc
A Hard Day's Night,Can't Buy Me Love,TBSpmoA8V78
A Hard Day's Night,Any Time at All,WuB7F-gRdJo
A Hard Day's Night,I'll Cry Instead,zfnkMBOSIUQ
A Hard Day's Night,Things We Said Today,NItAlTsPuQg
A Hard Day's Night,When I Get Home,TN8odbpRgnU
